,Month,Passengers,Predictions
107,1957-12,336,337.1488342285156
108,1958-01,340,341.1571960449219
109,1958-02,318,319.111328125
110,1958-03,362,363.20306396484375
111,1958-04,348,349.17388916015625
112,1958-05,363,364.2052001953125
113,1958-06,435,436.3553466796875
114,1958-07,491,492.4721374511719
115,1958-08,505,506.5013122558594
116,1958-09,404,405.2906799316406
117,1958-10,359,360.1968078613281
118,1958-11,310,311.0946350097656
119,1958-12,337,338.15093994140625
120,1959-01,360,361.1989440917969
121,1959-02,342,343.161376953125
122,1959-03,406,407.29486083984375
123,1959-04,396,397.2740173339844
124,1959-05,420,421.3240661621094
125,1959-06,472,473.4325256347656
126,1959-07,548,549.5909423828125
127,1959-08,559,560.6139526367188
128,1959-09,463,464.4137268066406
129,1959-10,407,408.2969665527344
130,1959-11,362,363.20306396484375
131,1959-12,405,406.2927551269531
132,1960-01,417,418.31781005859375
133,1960-02,391,392.2635803222656
134,1960-03,419,420.3219299316406
135,1960-04,461,462.4095764160156
136,1960-05,472,473.4325256347656
137,1960-06,535,536.5639038085938
138,1960-07,622,623.745361328125
139,1960-08,606,607.7119750976562
140,1960-09,508,509.50762939453125
141,1960-10,461,462.4095764160156
